"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36015.070459561","","","","","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","895.599148808249","945.686929858971","940.476298982224","1039.40824176659","1095.65562841162","1245.05922295101","1283.04098567395","1525.51705383899","1629.16729020532","1712.58871978343","1934.28563418865","1941.61004912662","1942.48461012269","1925.16522757776","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3106.55462518039","3076.25600839735","2836.12924364788","2115.39510053533","2165.01507004445","2366.28405550494","2603.07434321484","2778.74354273977","2918.45140585592","2972.32193814358","3036.55972773012","3131.99585802776","2858.89706878855","2961.96457179672","3256.65375398279","3838.26457174936","4614.59080935648","5613.23219621736","6298.01243978425","6284.27490492998","6360.84898012934","6524.48118084089","6758.27804986574","7096.78646812497","7327.37949009523","7386.70084342391","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2721.62736645675","1992.08258511074","1902.29487888488","2147.584702357","2389.95761873496","2781.42641039529","3109.19738359823","2837.36417525134","3208.97142122473","3690.68088302017","4026.53742144641","4463.61485447873","4754.6568019186","5114.77504364822","5524.94761611972","5942.85897200559","6634.75447520007","7289.60541749214","8228.328189132","8823.86148549252","9646.58227742476","10209.2009870254","10526.8686859838","10578.7891099602","11307.5492760222","11479.0874603266","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6497.87593591089","6385.38101318098","6749.26745279252","6987.86603518406","7176.83329068308","7308.40637224833","7630.25289206858","7963.28440758862","8336.28608418302","8581.3923588645","9013.78160726013","9239.63304621117","9316.69939358641","9617.04261033878","10590.9762565769","11332.1401534998","12201.4553465997","12912.4371287084","13663.8440678106","13705.4558851425","14197.1845852568","14577.1355980959","15294.650870338","15736.2760431063","16114.9942127034","16451.5023611119","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74017.3006503727","73036.9966064691","73154.2777414922","71959.8778674344","74683.8885943879","77467.2448447408","79480.4674789064","83165.2631465984","80040.2167031434","79262.3864517508","84974.8940914508","83533.5552161428","82369.6850171255","85563.6364172279","87843.7081074576","84338.3594071577","82754.2819759593","75426.793513296","69124.39621148","59100.3805379711","56245.4781588414","57594.1266833257","61115.2094576989","64409.9082789585","67238.9952603094","69970.8153425649","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6990.55383158376","8024.59186991626","9061.64612556285","9693.96869998843","10342.4765413987","10129.7766346728","10754.1981151341","11688.7477060807","12132.51440992","11769.1544705816","11810.0610454617","11419.0509428671","10217.2534144402","11217.5438173247","12430.6874055147","13817.7130147219","15227.5663872269","16865.6802084315","17711.6738064715","16618.4328599481","18333.9946678003","19629.9470082287","19579.7111274161","20162.2651229754","19801.9451085765","20338.1890591874","",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2414.40492609072","2223.44426285485","1347.49100775001","1287.95510749683","1419.99274213654","1581.73378977636","1731.80741579865","1840.69600801802","2012.33889409475","2123.61324020965","2313.33194570309","2605.77161787354","3007.21939324672","3510.31680808151","3998.14313650458","4716.24327265172","5526.09280578227","6483.50464926084","7097.91217336266","6158.30145236576","6376.2682174205","6803.48299708481","7401.85639769464","7733.6319436613","8117.6085003522","8418.72779034397","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
