Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,4,0,1,Imports,699,India,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,10000,,34272,,,0
HS,2016,201601,January 2016,4,0,2,Exports,699,India,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,180560,,140065,,,0
HS,2016,201601,January 2016,4,0,2,Exports,699,India,,64,Bhutan,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,15000,,21223,,,0
HS,2016,201601,January 2016,4,0,1,Imports,699,India,,276,Germany,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,10000,,34272,,,0
HS,2016,201601,January 2016,4,0,2,Exports,699,India,,524,Nepal,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,9100,,5473,,,0
HS,2016,201601,January 2016,4,0,2,Exports,699,India,,608,Philippines,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,17833,,13444,,,0
HS,2016,201601,January 2016,4,0,2,Exports,699,India,,634,Qatar,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,2216,,2576,,,0
HS,2016,201601,January 2016,4,0,2,Exports,699,India,,702,Singapore,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,118578,,82960,,,0
HS,2016,201601,January 2016,4,0,2,Exports,699,India,,784,United Arab Emirates,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,17833,,14389,,,0
HS,2016,201602,February 2016,4,0,1,Imports,699,India,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,1824,,6455,,,0
HS,2016,201602,February 2016,4,0,2,Exports,699,India,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,382871,,286677,,,0
HS,2016,201602,February 2016,4,0,2,Exports,699,India,,344,"China, Hong Kong SAR",,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,38142,,30290,,,0
HS,2016,201602,February 2016,4,0,1,Imports,699,India,,381,Italy,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,1824,,6455,,,0
HS,2016,201602,February 2016,4,0,2,Exports,699,India,,524,Nepal,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,22350,,16283,,,0
HS,2016,201602,February 2016,4,0,2,Exports,699,India,,702,Singapore,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,284414,,199800,,,0
HS,2016,201602,February 2016,4,0,2,Exports,699,India,,784,United Arab Emirates,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,37965,,40304,,,0
HS,2016,201603,March 2016,4,0,1,Imports,699,India,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,38154,,107227,,,0
HS,2016,201603,March 2016,4,0,2,Exports,699,India,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,307378,,248908,,,0
HS,2016,201603,March 2016,4,0,2,Exports,699,India,,48,Bahrain,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,2477,,2039,,,0
HS,2016,201603,March 2016,4,0,2,Exports,699,India,,64,Bhutan,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,10000,,15906,,,0
HS,2016,201603,March 2016,4,0,2,Exports,699,India,,104,Myanmar,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,8039,,6601,,,0
HS,2016,201603,March 2016,4,0,1,Imports,699,India,,251,France,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,36284,,101646,,,0
HS,2016,201603,March 2016,4,0,2,Exports,699,India,,344,"China, Hong Kong SAR",,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,13375,,10891,,,0
HS,2016,201603,March 2016,4,0,1,Imports,699,India,,381,Italy,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,1870,,5580,,,0
HS,2016,201603,March 2016,4,0,2,Exports,699,India,,462,Maldives,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,1200,,1055,,,0
HS,2016,201603,March 2016,4,0,2,Exports,699,India,,524,Nepal,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,10212,,9485,,,0
