Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2014,201401,Imports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,21950747
2014,201401,Exports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,46923551
2014,201402,Imports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,18685555
2014,201402,Exports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,40191337
2014,201403,Imports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,17984197
2014,201403,Exports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,43794068
2014,201404,Imports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,19440268
2014,201404,Exports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,42295262
2014,201405,Imports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,21665661
2014,201405,Exports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,40213210
2014,201406,Imports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,16022428
2014,201406,Exports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,39721804
2014,201407,Imports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,19128107
2014,201407,Exports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,39508127
2014,201408,Imports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,16934042
2014,201408,Exports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,26657487
2014,201409,Imports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,19284385
2014,201409,Exports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,33279381
2014,201410,Imports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,18353099
2014,201410,Exports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,26615557
2014,201411,Imports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,17617864
2014,201411,Exports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,25876674
2014,201412,Imports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,15041417
2014,201412,Exports,United Kingdom,World,"Milk and cream, neither concentrated nor sweetened",0401,28714207
2014,201401,Imports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,30423330
2014,201401,Exports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,40215102
2014,201402,Imports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,20614513
2014,201402,Exports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,32298380
2014,201403,Imports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,26335257
2014,201403,Exports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,42987356
2014,201404,Imports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,24770337
2014,201404,Exports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,52900520
2014,201405,Imports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,26409463
2014,201405,Exports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,55987928
2014,201406,Imports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,29081875
2014,201406,Exports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,59594101
2014,201407,Imports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,25668643
2014,201407,Exports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,33370592
2014,201408,Imports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,23360791
2014,201408,Exports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,35080212
2014,201409,Imports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,37418159
2014,201409,Exports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,27320918
2014,201410,Imports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,38012444
2014,201410,Exports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,30387863
2014,201411,Imports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,39465352
2014,201411,Exports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,23417284
2014,201412,Imports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,20217009
2014,201412,Exports,United Kingdom,World,"Milk and cream, concentrated or sweetened",0402,31301034
